game_event_id,game_date,game_id,event_minute,event_type,club_id,player_id,description,player_in_id,player_assist_id
199ac370c0bc1fe807291527c3a2b080,2022-08-19,3828446,68,Substitutions,190,89200,,131161,
aa58fa33d1c605a9b8987dbab9120a60,2022-08-19,3828446,71,Substitutions,369,107266,,627936,
acf8ba62ef976bb28bd58048b4fdf0d5,2022-08-19,3828446,15,Goals,190,116598,Right-footed shot 4. Goal of the Season,,
7eef7e354bb19b1fcc41805c6d0aebbc,2022-08-19,3828446,52,Goals,190,116598,Left-footed shot 5. Goal of the Season,,
b9d235986916d74e58764824d7ed96f3,2022-08-19,3828446,68,Substitutions,190,116598,,667914,
9db6dded70d97da70651e8209c87e8ea,2022-08-19,3828446,49,Goals,190,263804,Penalty 5. Goal of the Season,,
08129d8b81463cfbf9b70b964fab2c54,2022-08-19,3828446,68,Substitutions,190,263804,,666580,
bb8fad6bd44ccb75cd0aaf12bd6111c0,2022-08-19,3828446,56,Substitutions,369,400537,,685679,
1be86405eaa5c91a56a86d64d75edb9c,2022-08-19,3828446,56,Substitutions,369,400549,,283193,
735d1e42d920cb502616898effaed603,2022-08-19,3828446,78,Substitutions,190,564529,,646478,
a52eb479fce0ce56ca2cdb3cac84cd51,2022-08-19,3828446,58,Substitutions,190,579565,,167105,
ea74b6b29024e3b71ed271b07a14cb54,2022-08-22,3828447,82,Substitutions,2414,44726,,485672,
2b7548630121fa062ae51f9e5c067a09,2022-08-22,3828447,77,Substitutions,2414,50580,,260838,
43271112248ef96242081170cc2e928b,2022-08-22,3828447,84,Goals,173,91851,Left-footed shot 2. Goal of the Season,,
48455e30b1e74c3d97eaf8376be8f339,2022-08-22,3828447,77,Substitutions,173,122635,,91851,
00192220f011bd8e25743538441d6ca3,2022-08-22,3828447,82,Substitutions,2414,150732,,569654,
64de52bb66db393a5aafcfac0bfd5278,2022-08-22,3828447,68,Substitutions,2414,421636,,523965,
74b9362867d7b5f1a266bff822a4823c,2022-08-22,3828447,66,Substitutions,173,430034,,610406,
919b4dbdecc4940dbd5ad173721c19e0,2022-08-22,3828447,68,Substitutions,2414,523476,,663347,
13f3adce4fb39faffa466270e9ce552e,2022-08-22,3828447,66,Substitutions,173,578920,,802726,
7201c9d1c84db8634ba84bce65e33d76,2022-08-22,3828447,77,Substitutions,173,657957,,293316,
91646d4d43c1bc64af05f2541ad73328,2022-08-29,3828448,84,Substitutions,865,48907,,243770,
d0428232b34d70141763bd0777dc8d30,2022-08-29,3828448,66,Substitutions,206,116900,,800925,
8541e0dd4462103bce26767650cd04ca,2022-08-29,3828448,26,Goals,865,252641,Right-footed shot 3. Goal of the Season,,
5d9ab8d1bd8dfda563b9bc222ab013bc,2022-08-29,3828448,77,Substitutions,865,252641,,490309,
3c9763cd48622f758dda833d51e44247,2022-08-29,3828448,14,Goals,865,323874,Penalty 1. Goal of the Season,,
abd895e61b43be0270d172a2d8996055,2022-08-29,3828448,81,Substitutions,206,345700,,160506,
dce8a28d3d0ae156d81f613e5255912c,2022-08-29,3828448,66,Substitutions,865,355689,,524590,
2ac127fd2b0a6cce05ba40abafa399af,2022-08-29,3828448,46,Substitutions,865,520492,,462837,
db133663e46bdf03e85815d50fc4e699,2022-08-29,3828448,90,Substitutions,206,546712,,515613,
