game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3845648,121,0,5,Slavisa Jokanovic,16704,0,7,Aleksandr Storozhuk,Home,False
3851135,354,5,8,Danny Buijs,968,4,10,Jonas De Roeck,Home,True
3858515,1894,2,,Per Frandsen,22110,4,,Morten Eskesen,Home,False
3860181,11282,0,11,Francesco Farioli,924,1,15,Osman Zeki Korkmaz,Home,False
3860275,6890,2,2,Emre Belözoglu,3205,0,15,Cagdas Atan,Home,True
3869054,6912,0,10,Álvaro Pacheco,720,1,1,Sérgio Conceição,Home,False
3869067,1075,5,3,Artur Jorge,1301,0,18,Vasco Seabra,Home,True
3890029,370,4,5,Jim Goodwin,465,1,12,Stephen Robinson,Home,True
3890037,2553,0,11,Derek McInnes,371,5,1,Ange Postecoglou,Home,False
3890055,43,3,3,Robbie Neilson,2578,2,10,Callum Davidson,Home,True
3898907,190,2,,Jess Thorup,449,1,,Abdullah Avci,Home,True
3902064,18303,2,5,Yuriy Gura,61825,1,13,Volodymyr Sharan,Home,True
3906304,22110,2,,Morten Eskesen,369,0,,Freyr Alexandersson,Home,True
3837822,985,1,14,Erik ten Hag,1237,2,7,Graham Potter,Home,False
3839103,33,1,16,Frank Kramer,89,6,2,Urs Fischer,Home,False
3854845,114,1,5,Valérien Ismaël,3205,0,19,Cagdas Atan,Home,True
3889533,932,5,8,Josef Zinnbauer,14589,1,13,Marcel Licka,Home,True
3890050,987,1,3,Stevie Hammell,1241,0,7,David Martindale,Home,True
3828444,5724,1,4,Thomas Thomasberg,1063,0,6,Jacob Friis,Home,True
3836749,306,0,11,Kees van Wonderen,468,0,12,Maurice Steijn,Home,False
3837221,468,2,11,Maurice Steijn,1090,3,5,Pascal Jansen,Home,False
3837391,200,0,15,Henk Fraser,610,2,2,Alfred Schreuder,Home,False
3837393,724,1,13,Wim Jonk,317,0,5,Ron Jans,Home,True
3837820,989,2,3,Scott Parker,405,0,17,Steven Gerrard,Home,True
3837836,29,1,17,Frank Lampard,703,1,10,Steve Cooper,Home,False
3839030,82,2,9,Niko Kovac,86,2,8,Ole Werner,Home,False
3839083,24,1,15,Oliver Glasner,3,1,8,Steffen Baumgart,Home,False
3839735,667,1,15,Julien Stéphan,162,2,6,Philippe Clement,Home,False
3839844,417,0,18,Lucien Favre,244,3,2,Igor Tudor,Home,False
3844093,331,2,5,Jagoba Arrasate,368,1,14,Julen Lopetegui,Home,True
3844600,12321,3,9,Míchel,3709,1,20,Quique Sánchez Flores,Home,True
3844737,276,2,18,Gabriele Cioffi,6195,5,1,Luciano Spalletti,Home,False
3844764,380,4,9,Davide Nicola,1038,0,17,Marco Giampaolo,Home,True
3844774,6574,0,11,Alessio Dionisi,5,0,5,Stefano Pioli,Home,False
3851206,601,0,17,Karim Belhocine,3057,1,11,Ronny Deila,Home,False
3869049,1075,3,8,Artur Jorge,336,3,9,Rúben Amorim,Home,False
3869060,3268,0,14,Filipe Martins,294,1,2,Roger Schmidt,Home,False
3885849,714,1,16,Diego Martínez,418,3,1,Carlo Ancelotti,Home,False
3887500,383,3,,Ruud van Nistelrooy,162,2,,Philippe Clement,Home,True
3901643,1063,0,,Jacob Friis,379,3,,David Moyes,Home,False
3909907,232,1,,Guillermo Abascal,2696,0,,Igor Osinjkin,Home,True
3828438,190,1,8,Jess Thorup,5724,3,4,Thomas Thomasberg,Home,False
3828453,1063,2,5,Jacob Friis,369,1,12,Freyr Alexandersson,Home,True
3837835,873,3,9,Patrick Vieira,405,1,13,Steven Gerrard,Home,True
3837857,399,1,7,Jesse Marsch,29,1,17,Frank Lampard,Home,False
3844593,621,1,7,Ernesto Valverde,1049,0,10,Gennaro Gattuso,Home,True
3844773,1038,1,17,Marco Giampaolo,398,1,6,Maurizio Sarri,Home,False
3869053,2420,1,4,Moreno,1465,0,8,Nélson Veríssimo,Home,True
3869058,2503,2,3,Petit,2423,1,13,Mário Silva,Home,True
3888997,653,0,14,Nikolaos Nioplias,265,2,1,Ivan Jovanovic,Home,False
3890031,903,1,4,Lee Johnson,43,1,3,Robbie Neilson,Home,False
3898908,449,0,,Abdullah Avci,190,0,,Jess Thorup,Home,False
3828440,2414,3,6,Jens Berthel Askou,865,3,7,Henrik Jensen,Home,False
3837230,499,0,18,Thomas Letsch,306,4,7,Kees van Wonderen,Home,False
3837851,703,0,14,Steve Cooper,148,2,3,Antonio Conte,Home,False
3839056,39,0,6,Bo Svensson,89,0,5,Urs Fischer,Home,False
3839731,969,3,5,Olivier Dall'Oglio,1095,2,13,Bruno Irles,Home,True
3839737,415,1,9,Philippe Montanier,417,1,10,Lucien Favre,Home,False
3839863,162,2,16,Philippe Clement,1095,4,11,Bruno Irles,Home,False
3844602,1531,1,18,Francisco Rodríguez,3302,1,13,Rubi,Home,False
3844750,6195,4,1,Luciano Spalletti,2919,0,19,Giovanni Stroppa,Home,True
3851072,58,3,2,Felice Mazzù,2715,1,18,José Jeunechamps,Home,True
3851134,3057,1,15,Ronny Deila,2727,3,7,Marc Brys,Home,False
3869108,6912,2,11,Álvaro Pacheco,2424,2,12,Ivo Vieira,Home,False
3869112,1301,0,18,Vasco Seabra,7378,1,4,Paulo Sérgio,Home,False
3890036,43,4,3,Robbie Neilson,1519,1,10,Jack Ross,Home,True
3890049,903,2,8,Lee Johnson,124,2,2,Giovanni van Bronckhorst,Home,False
3890058,465,1,6,Stephen Robinson,903,0,8,Lee Johnson,Home,True
3901609,1090,4,,Pascal Jansen,2424,0,,Ivo Vieira,Home,True
3902062,55686,0,10,Valeriy Kryventsov,6992,0,12,Roman Grygorchuk,Home,False
3837387,1435,0,17,René Hake,468,1,11,Maurice Steijn,Home,False
3837825,180,2,17,Ralph Hasenhüttl,399,2,6,Jesse Marsch,Home,False
3839817,1420,1,17,Gérald Baticle,3911,3,8,Michel Der Zakarian,Home,False
3851081,2727,0,9,Marc Brys,2282,3,5,Carl Hoefkens,Home,False
3888991,265,1,5,Ivan Jovanovic,553,0,9,Dimitrios Spanos,Home,True
3828447,173,1,11,Andreas Alm,2414,0,7,Jens Berthel Askou,Home,True
3836755,499,2,17,Thomas Letsch,234,5,1,Arne Slot,Home,False
3837233,385,1,17,Sjors Ultee,133,4,9,Henk de Jong,Home,False
3837390,306,2,6,Kees van Wonderen,385,1,18,Dominik Vergoossen,Home,True
3837832,405,2,9,Steven Gerrard,29,1,18,Frank Lampard,Home,True
3837834,989,0,15,Scott Parker,11,3,1,Mikel Arteta,Home,False
3837843,379,0,20,David Moyes,1237,2,5,Graham Potter,Home,False
3837856,931,2,8,Marco Silva,1237,1,4,Graham Potter,Home,True
3839033,79,1,11,Pellegrino Matarazzo,23826,1,10,Domenico Tedesco,Home,False
3839058,44,1,14,Sandro Schwarz,24,1,16,Oliver Glasner,Home,False
3839104,86,3,10,Ole Werner,24,4,11,Oliver Glasner,Home,False
3839782,1421,2,20,Óscar García,3524,4,10,Pascal Gastien,Home,False
3839825,415,2,7,Philippe Montanier,1158,2,4,Régis Le Bris,Home,False
3839843,995,3,11,Antoine Kombouaré,415,1,10,Philippe Montanier,Home,True
3839849,1095,3,15,Bruno Irles,1420,1,17,Gérald Baticle,Home,True
3839866,969,2,6,Olivier Dall'Oglio,1147,0,20,Olivier Pantaloni,Home,True
3844092,2687,0,16,Sergio,681,1,7,Imanol Alguacil,Home,False
3844746,800,1,5,Gian Piero Gasperini,5,1,4,Stefano Pioli,Home,False
3844749,46,3,2,Simone Inzaghi,3522,0,9,Luca Gotti,Home,True
3844771,6195,1,4,Luciano Spalletti,1005,1,16,Marco Baroni,Home,False
3851068,172,1,14,Edward Still,2861,3,5,Yves Vanderhaeghe,Home,False
3851131,1096,4,1,Mark van Bommel,3948,2,9,Karel Geraerts,Home,True
3851202,520,1,15,Dominik Thalhammer,3508,1,16,Mbaye Leye,Home,False
3860187,10484,1,14,Senol Can,7775,0,19,Serkan Özbalta,Home,True
3860205,10484,0,18,Sami Ugurlu,36,6,5,Jorge Jesus,Home,False
3860272,24245,0,14,Recep Ucar,141,1,8,Okan Buruk,Home,False
3860274,2381,1,12,Riza Calimbay,11282,1,11,Francesco Farioli,Home,False
3865511,380,0,,Davide Nicola,130,2,,Fabio Pecchia,Home,False
3869062,3268,2,9,Filipe Martins,2503,0,6,Petit,Home,True
3887503,865,1,,Henrik Jensen,294,3,,Roger Schmidt,Home,False
3889531,3725,1,10,Andrey Talalaev,2696,2,9,Igor Osinjkin,Home,False
3890052,2578,0,10,Callum Davidson,370,1,5,Jim Goodwin,Home,False
3898923,124,2,,Giovanni van Bronckhorst,383,2,,Ruud van Nistelrooy,Home,False
3837213,798,3,3,Marinus Dijkhuizen,499,1,17,Thomas Letsch,Home,True
3837234,468,0,14,Maurice Steijn,610,1,3,Alfred Schreuder,Home,False
3839082,18,1,2,Daniel Farke,44,0,16,Sandro Schwarz,Home,True
3839101,533,1,4,André Breitenreiter,167,0,14,Enrico Maaßen,Home,True
3839870,667,1,18,Julien Stéphan,995,1,10,Antoine Kombouaré,Home,False
3844763,2919,1,19,Giovanni Stroppa,410,2,10,Andrea Sottil,Home,False
3889522,3719,0,9,Nikolay Pisarev,932,3,12,Josef Zinnbauer,Home,False
3837861,180,2,9,Ralph Hasenhüttl,631,1,10,Thomas Tuchel,Home,True
3844601,331,2,4,Jagoba Arrasate,2687,0,19,Sergio,Home,True
3844753,6574,1,10,Alessio Dionisi,1005,0,18,Marco Baroni,Home,True
3851067,601,0,10,Karim Belhocine,475,0,17,Bernd Hollerbach,Home,False
3851075,968,4,7,Jonas De Roeck,3057,2,13,Ronny Deila,Home,True
3860200,24245,0,12,Recep Ucar,589,1,10,Nuri Sahin,Home,False
3869069,1465,2,8,Nélson Veríssimo,2425,2,15,Luís Freire,Home,False
3885848,131,4,3,Xavi,366,0,19,Pacheta,Home,True
3887502,124,3,,Giovanni van Bronckhorst,3948,0,,Karel Geraerts,Home,True
3888994,2441,0,5,Matías Almeyda,60949,1,4,Konstantinos Bratsos,Home,False
3889527,16704,2,6,Aleksandr Storozhuk,14589,0,11,Marcel Licka,Home,True
3890051,2759,1,9,Malky Mackay,2553,0,12,Derek McInnes,Home,True
3828433,173,1,12,Andreas Alm,678,2,3,Uwe Rösler,Home,False
3828452,1177,1,3,Kent Nielsen,173,2,9,Andreas Alm,Home,False
3836750,385,2,13,Sjors Ultee,610,3,5,Alfred Schreuder,Home,False
3837236,235,0,13,Joseph Oosting,234,1,4,Arne Slot,Home,False
3837823,379,0,16,David Moyes,281,2,5,Pep Guardiola,Home,False
3837824,543,0,14,Bruno Lage,931,0,13,Marco Silva,Home,False
3837837,931,3,7,Marco Silva,1148,2,8,Thomas Frank,Home,True
3837852,180,0,13,Ralph Hasenhüttl,985,1,8,Erik ten Hag,Home,False
3837859,379,1,14,David Moyes,148,1,3,Antonio Conte,Home,False
3839029,18,3,5,Daniel Farke,533,1,16,André Breitenreiter,Home,True
3839032,167,0,17,Enrico Maaßen,60,4,2,Christian Streich,Home,False
3839085,80,0,18,Thomas Reis,27,7,1,Julian Nagelsmann,Home,False
3839775,290,2,18,Jean-Marc Furlan,1420,2,11,Gérald Baticle,Home,False
3839846,826,2,3,Franck Haise,273,1,13,Bruno Génésio,Home,True
3839848,1421,1,19,Óscar García,1041,1,5,Peter Bosz,Home,False
