"game_lineups_id","game_date","game_id","player_id","club_id","player_name","lineup_type","player_position","lineup_number","team_captain"
"4d94fff8467cc5a2972f36e1fc56752e","2022-08-05","3828431","590835","865","Victor Lind","substitutes","Right Winger",53,False
"e77a63059e24aeae6a88fd668b4ce097","2022-08-05","3828431","627936","369","Casper Winther","substitutes","Central Midfield",13,False
"726d2125e9e3ee016ffb71d8989af038","2022-08-05","3828431","699783","865","Raphael Onyedika","starting_lineup","Defensive Midfield",15,False
"d16dda1959150ecd50a6243cfaf2cd02","2022-08-05","3828431","728924","369","Lucas Hey","substitutes","Centre-Back",29,False
"fc9bffa9b4e62362bd29950cf3c869b2","2022-08-05","3828431","814306","865","Pablo Ortiz","substitutes","Centre-Back",26,False
"03501ab4d774aab89ad5914b4016bc7a","2022-08-05","3828431","875631","369","Sanders Ngabo","substitutes","Central Midfield",19,False
"ebeab3f00e107e1164c055a81d679587","2022-08-07","3828432","23523","206","Thomas Mikkelsen","substitutes","Goalkeeper",16,False
"90dcb8a92d3beaf7495956919eecbb8d","2022-08-07","3828432","89200","190","Rasmus Falk","starting_lineup","Defensive Midfield",33,False
"538f6ead4b7d7bb451b478c4b39fdef9","2022-08-07","3828432","112822","190","Karl-Johan Johnsson","starting_lineup","Goalkeeper",21,False
"df4b355fa124453bc81ba951a6dc08fb","2022-08-07","3828432","116598","190","Viktor Claesson","starting_lineup","Central Midfield",7,True
"f5f7c5ef5c91a70af0aa1d63a1ba5349","2022-08-07","3828432","116900","206","Simon Hedlund","starting_lineup","Centre-Forward",27,False
"e8c2efa28867baac003d39a0ebec1cf1","2022-08-07","3828432","124902","190","Khouma Babacar","substitutes","Centre-Forward",11,False
"b9345227be7d795b240b0d710e0b9846","2022-08-07","3828432","131161","190","Zeca","substitutes","Central Midfield",10,False
"c9c607eccfab592876d3e54f74f69882","2022-08-07","3828432","146889","190","Peter Ankersen","substitutes","Right-Back",22,False
"5296eeef177f280b63bf4c34c4fe7339","2022-08-07","3828432","160506","206","Josip Radosevic","starting_lineup","Defensive Midfield",22,True
"8179b96753175aff2b5d094fbaf4758c","2022-08-07","3828432","165825","190","Davit Khocholava","starting_lineup","Centre-Back",5,False
"960325eda463de1bc67a4973ef6763cc","2022-08-07","3828432","167105","190","Lukas Lerager","starting_lineup","Central Midfield",12,False
"1d41810d5cbc06b784b4093b0ca2e365","2022-08-07","3828432","230336","206","Sigurd Rosted","substitutes","Centre-Back",4,False
"4d7191d053e09bc6ad5e627b145460ff","2022-08-07","3828432","237436","206","Mathias Greve","substitutes","Central Midfield",8,False
"29a445953d9f077c75cce67b42970dc5","2022-08-07","3828432","239962","190","Denis Vavro","starting_lineup","Centre-Back",3,False
"93b5b3ac09d5668cb12c9567916ee920","2022-08-07","3828432","263804","190","Pep Biel","starting_lineup","Centre-Forward",16,False
"13244fa52e6e5879fd8ef20c88d0a663","2022-08-07","3828432","335209","190","Kevin Diks","starting_lineup","Right-Back",2,False
"25ee1e18e9637ec52a5244f367a5ac70","2022-08-07","3828432","345700","206","Joe Bell","starting_lineup","Central Midfield",6,False
"dc7d94b471ee90abdc2a7d324c4c94fc","2022-08-07","3828432","387745","206","Kevin Tshiembe","starting_lineup","Centre-Back",18,False
"e4a3ae6fdc90c5cb634955945760c9be","2022-08-07","3828432","400536","206","Mads Hermansen","starting_lineup","Goalkeeper",1,False
"afec75eff24cac567e56dc4dd4d22d5b","2022-08-07","3828432","401732","206","Blas Riveros","starting_lineup","Left-Back",15,False
"6c2a6502f488b4f89c5da2c0644f47d7","2022-08-07","3828432","482110","206","Peter Bjur","substitutes","Attacking Midfield",29,False
"adb9af8816fc1af270cc65ef27afd0ae","2022-08-07","3828432","515613","206","Marko Divkovic","starting_lineup","Centre-Forward",24,False
"4305793e971fd6663bc81dc62ad99ce3","2022-08-07","3828432","542690","206","Frederik Alves","substitutes","Centre-Back",32,False
"d9a4b03b2b08a06dc6ddcd1c4d931445","2022-08-07","3828432","544931","206","Christian Cappis","starting_lineup","Central Midfield",23,False
"612b2d2c87fe8326ea937a54c970cdb3","2022-08-07","3828432","546712","206","Anis Slimane","starting_lineup","Attacking Midfield",25,False
"66ee34183b590194dc7dec03fd6fa8e5","2022-08-07","3828432","564529","190","Victor Kristiansen","starting_lineup","Left-Back",34,False
"92b1cc115a8880a2c7db452127aecc4b","2022-08-07","3828432","569663","206","Mathias Kvistgaarden","substitutes","Centre-Forward",36,False
"cfbc69201c7a4176c08fb568c73c351e","2022-08-07","3828432","574385","190","Mohamed Daramy","starting_lineup","Left Winger",15,False
"ed79286204ee1a236095f3a3cf3d4bc0","2022-08-07","3828432","579565","190","Ísak Bergmann Jóhannesson","substitutes","Central Midfield",8,False
"35b801216d3d77e9cc5aecf82322bb27","2022-08-07","3828432","592387","206","Sebastian Sebulonsen","starting_lineup","Right-Back",2,False
"145a376d75aa60120089df3f0e162edb","2022-08-07","3828432","610400","190","William Böving","substitutes","Centre-Forward",24,False
"99b23debe8042ccb26e555fad2622b4e","2022-08-07","3828432","646478","190","Elias Jelert","substitutes","Right-Back",19,False
"0a94851be3610413977f0d7d10fdeb52","2022-08-07","3828432","646782","190","Mamoudou Karamoko","substitutes","Centre-Forward",29,False
"3610be553a5c2c7679712b102f92888a","2022-08-07","3828432","652275","190","Hákon Arnar Haraldsson","starting_lineup","Right Winger",30,False
"b12d3aaf873872dc2a599f3b3e32bd4c","2022-08-07","3828432","666580","190","Akinkunmi Amoo","substitutes","Right Winger",23,False
"a283b5504a5c624a88eb2251d0999cbc","2022-08-07","3828432","695229","206","Bertram Kvist","substitutes","Attacking Midfield",19,False
"f02e9acf6adbac6dbfa1e4730350c48c","2022-08-07","3828432","701226","206","Yousef Salech","substitutes","Centre-Forward",38,False
"b544a6edc95a9428050e92154af91675","2022-08-07","3828432","790245","206","Henrik Heggheim","starting_lineup","Centre-Back",3,False
"ae2813c16643f8999122aaa11a0f54cc","2022-08-07","3828432","800925","206","Oscar Schwartau","substitutes","Second Striker",41,False
"39b8e5506c49caeed121dc3d13126f0c","2022-08-07","3828432","802540","190","Andreas Dithmer","substitutes","Goalkeeper",41,False
"de672b8ffc2e13286e5ab5361c314f2e","2022-08-07","3828433","22860","678","Jesper Hansen","starting_lineup","Goalkeeper",1,False
"e7fe2ba484585297b947b5bc7341e380","2022-08-07","3828433","45601","173","Martin Hansen","starting_lineup","Goalkeeper",1,False
"fbf00ccd95b8952a3a852c8f2d400529","2022-08-07","3828433","69511","678","Patrick Mortensen","starting_lineup","Centre-Forward",9,True
"9c337a6c109a419bef82be41eba54ed5","2022-08-07","3828433","71701","678","Oliver Lund","substitutes","Left-Back",15,False
"eda91786ce3b53301c2d7d6299f74db5","2022-08-07","3828433","91851","173","Bashkim Kadrii","starting_lineup","Centre-Forward",9,False
"68bebcd5ac8fb10f2f64cb667b2fd1fa","2022-08-07","3828433","95759","173","Kasper Larsen","substitutes","Centre-Back",5,False
"a114871747ea4edb5c35224f2cdba642","2022-08-07","3828433","103428","173","Björn Paulsen","starting_lineup","Centre-Back",4,False
"f0ed59a2e0e70ad2e9bf774943af5aea","2022-08-07","3828433","112336","173","Jörgen Skjelvik","starting_lineup","Centre-Back",16,False
"d22c06e7d5c2931f21c33b9767d51b77","2022-08-07","3828433","157387","678","Anthony D'Alberto","substitutes","Right-Back",26,False
"e74e6a10577a030818055a00e642a7fc","2022-08-07","3828433","178926","173","Aron Elís Thrándarson","starting_lineup","Central Midfield",19,False
"a0c5cd972539a4049d17129e2fb83890","2022-08-07","3828433","253210","678","Nicolai Poulsen","starting_lineup","Defensive Midfield",6,False
"3b2ac8f33ac74741a27d6a58266afa86","2022-08-07","3828433","257324","173","Jeppe Tverskov","starting_lineup","Centre-Back",6,True
"ee4d64d34d6073d911d838242933a6ec","2022-08-07","3828433","269503","173","Sander Svendsen","starting_lineup","Left Winger",10,False
"ae99a727cc18f9c1a21fca36e0049ab2","2022-08-07","3828433","282954","678","Frederik Brandhof","substitutes","Central Midfield",29,False
"5b02f1f4b01c920f12162885e2ebcef8","2022-08-07","3828433","283225","678","Alexander Munksgaard","substitutes","Right-Back",13,False
"16d34600baea96631c31d3bc4f29460a","2022-08-07","3828433","289683","678","Frederik Tingager","starting_lineup","Centre-Back",5,False
"b0bdff022c8970e444ae3bface8864f2","2022-08-07","3828433","293316","173","Agon Mucolli","substitutes","Left Winger",26,False
"1e85025536fddea22b27087010b99b02","2022-08-07","3828433","341466","678","Tobias Mölgaard","starting_lineup","Right Midfield",14,False
"effa86a874d6f93df7e7639ad1a13181","2022-08-07","3828433","346549","678","Dawid Kurminowski","substitutes","Centre-Forward",21,False
