"appearance_id","game_id","player_id","player_club_id","player_current_club_id","appearances_date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"3869048_550179","3869048","550179","1465","1465","2022-08-06","João Carlos","PO1",0,0,0,0,77
"3869048_552628","3869048","552628","3329","3329","2022-08-06","Hernán de la Fuente","PO1",0,0,0,0,8
"3869048_577590","3869048","577590","3329","3329","2022-08-06","Pedro Brazão","PO1",0,0,0,0,14
"3869048_585958","3869048","585958","3329","3329","2022-08-06","Junior Kadile","PO1",0,0,0,0,90
"3869048_586855","3869048","586855","1465","385","2022-08-06","Loreintz Rosier","PO1",0,0,0,0,90
"3869048_588114","3869048","588114","1465","7378","2022-08-06","Rodrigo Martins","PO1",0,0,0,0,24
"3869048_58965","3869048","58965","3329","2431","2022-08-06","Rúben Lima","PO1",0,0,0,0,76
"3869048_658737","3869048","658737","1465","1465","2022-08-06","Mor Ndiaye","PO1",0,0,0,0,90
"3869048_690273","3869048","690273","1465","1465","2022-08-06","Bernardo Vital","PO1",1,0,0,0,90
"3828431_520492","3828431","520492","865","865","2022-08-05","Paulinho","DK1",0,0,0,0,90
"3828431_524590","3828431","524590","865","865","2022-08-05","Júnior Brumado","DK1",0,0,0,0,26
"3828431_542842","3828431","542842","369","1063","2022-08-05","Magnus Westergaard","DK1",0,0,0,0,45
"3828431_56354","3828431","56354","369","369","2022-08-05","Andreas Bjelland","DK1",1,0,0,0,90
"3828431_61336","3828431","61336","369","369","2022-08-05","Brian Hämäläinen","DK1",0,0,0,0,83
"3828431_627936","3828431","627936","369","369","2022-08-05","Casper Winther","DK1",0,0,0,0,7
"3828431_699783","3828431","699783","865","2282","2022-08-05","Raphael Onyedika","DK1",1,0,0,0,90
"3828431_93315","3828431","93315","865","865","2022-08-05","Henrik Dalsgaard","DK1",0,0,0,1,90
"3828435_150732","3828435","150732","2414","2414","2022-08-05","Aron Sigurdarson","DK1",0,0,0,0,60
"3828435_164693","3828435","164693","5724","5724","2022-08-05","Jakob Ankersen","DK1",0,0,0,0,77
"3828435_190280","3828435","190280","5724","5724","2022-08-05","Patrik Carlgren","DK1",0,0,0,0,90
"3828435_235355","3828435","235355","5724","865","2022-08-05","Alhaji Kamara","DK1",0,0,0,0,13
"3828435_255468","3828435","255468","5724","5724","2022-08-05","Adam Andersson","DK1",0,0,0,0,90
"3828435_274984","3828435","274984","5724","5724","2022-08-05","Marvin Egho","DK1",0,0,1,0,77
"3828435_290405","3828435","290405","5724","5724","2022-08-05","Edgar Babayan","DK1",0,0,0,0,2
"3828435_312712","3828435","312712","2414","1894","2022-08-05","Malte Kiilerich","DK1",0,0,0,0,90
"3828435_316750","3828435","316750","5724","5724","2022-08-05","Tosin Kehinde","DK1",0,0,0,0,88
"3828435_320272","3828435","320272","5724","5724","2022-08-05","Frederik Lauenborg","DK1",0,0,0,0,88
"3828435_333859","3828435","333859","2414","1177","2022-08-05","Lubambo Musonda","DK1",0,0,0,0,90
"3828435_348875","3828435","348875","5724","5724","2022-08-05","Hugo Andersson","DK1",0,0,0,0,90
"3828435_369678","3828435","369678","2414","2414","2022-08-05","Moses Opondo","DK1",0,0,0,0,90
"3828435_374253","3828435","374253","5724","5724","2022-08-05","Mikkel Pedersen","DK1",0,0,0,0,2
"3828435_421636","3828435","421636","2414","6992","2022-08-05","Samson Iyede","DK1",0,0,0,0,77
"3828435_44726","3828435","44726","2414","443","2022-08-05","Anders Jacobsen","DK1",0,0,0,0,90
"3828435_448471","3828435","448471","2414","369","2022-08-05","Magnus Jensen","DK1",0,0,0,0,90
